Course name;Link;sws;german;english;Komplexpraktikum;Seminar;Vorlesung;Software engineering;AI;Low-level;Security;Web;Theoretical;Sommersemester;Wintersemester
Introduction to Parsing of Natural Languages;https://www.orchid.inf.tu-dresden.de/teaching/2020ws/smt/;4;1;0;0;0;1;0;1;0;0;0;0;0;1
Knowledge Graphs;https://iccl.inf.tu-dresden.de/web/Knowledge_Graphs_(WS2020/21)/en;4;0;1;0;0;1;0;1;0;0;0;1;0;1
Theory of Weighted Tree Automata;https://www.orchid.inf.tu-dresden.de/teaching/2020ws/wta/;6;1;0;0;0;1;0;1;0;0;0;1;0;1
Computer- und robotergestütze Chirurgie;https://www.nct-dresden.de/forschung/departments-and-groups/department-for-translational-surgical-oncology/teaching.html#vorlesung-computer--und-robotergestuetzte-chirurgie-informatik--lecture-computer--and-robot-assisted-surgery-informatics;4;1;1;0;0;1;0;1;0;0;0;0;0;1
Data Visualization;https://mt.inf.tu-dresden.de/study/teaching/ws_20-21/vis_20-21/;4;0;1;0;0;1;1;0;1;1;0;0;0;1
Highly parallel programming of GPU;https://tu-dresden.de/ing/informatik/ti/professur-fuer-rechnerarchitektur/studium/lehrveranstaltungen/vorlesungen/vorlesung-hochparallele-programmierung-von-gpus;4;1;1;0;0;1;0;0;1;0;0;0;0;1
Computer Graphics I;https://tu-dresden.de/ing/informatik/smt/cgv/studium/lehrveranstaltungen/ws2021/cg1;4;0;1;0;0;1;1;0;0;0;0;1;0;1
Barrierefreie Dokumente;https://tu-dresden.de/ing/informatik/ai/mci/studium/lehrveranstaltungen/barrierefreie-dokumente;4;1;0;0;0;1;0;0;0;0;1;0;0;1
Internet of Things in Automation;https://tu-dresden.de/ing/informatik/ai/professur-fuer-prozesskommunikation/studium/lehrveranstaltungen/wintersemester;4;1;0;0;0;1;1;0;0;0;0;0;0;1
Wireless Sensor Networks;https://tu-dresden.de/ing/informatik/sya/professur-fuer-rechnernetze/studium/lehrveranstaltungen/lehrveranstaltungsdetails?ln=en&lv_id=45;4;0;1;0;0;1;0;0;1;1;0;0;1;0
Database Theory;https://iccl.inf.tu-dresden.de/web/Database_Theory_(SS2020);6;0;1;0;0;1;0;0;0;0;0;1;1;0
Parsing von natürlichen Sprachen;https://www.orchid.inf.tu-dresden.de/teaching/2020ss/pnl/;4;1;0;0;0;1;0;1;0;0;0;1;1;0
Computer Graphics 2;https://tu-dresden.de/ing/informatik/smt/cgv/studium/lehrveranstaltungen/ss2020/cg2;4;0;1;0;0;1;1;0;0;0;0;0;1;0
Scientific Visualization;https://tu-dresden.de/ing/informatik/smt/cgv/studium/lehrveranstaltungen/ss2020/scivis;4;0;1;0;0;1;0;0;0;0;0;1;1;0
